:START_ID(Forum)|:END_ID(Person)|joinDate:LONG
0|2199023256077|20100422123107947
0|10995116278291|20101115072359104
0|24189255811254|20111215023453085
893353197569|24189255811254|20120415180722687
481036337154|2199023256077|20110911172051452
755914244099|24189255811254|20120404174253483
893353197573|2199023256077|20120903164414799
618475290630|2199023256077|20110924072039109
618475290630|10995116278291|20111019045602522
481036337162|2199023256077|20110402061830757
481036337162|24189255811254|20120120165718056
343597383692|10995116278291|20111128215708927
343597383693|2199023256077|20110826171723926
343597383693|24189255811254|20120827054516604
137438953486|10995116278291|20110605164509263
206158430223|2199023256077|20101228165646391
206158430223|10995116278291|20110406105907673
206158430223|24189255811254|20120528143256909
481036337168|10995116278291|20110802212126241
481036337168|24189255811254|20120507093228879
412316860433|2199023256077|20110622222346166
412316860433|10995116278291|20111108174918252
412316860433|24189255811254|20120711151210078
687194767378|2199023256077|20120329131206662
687194767378|10995116278291|20120108201209702
618475290643|2199023256077|20120314010324726
618475290643|10995116278291|20120508220649110
687194767380|2199023256077|20111228234946151
687194767380|10995116278291|20120117063326383
687194767380|24189255811254|20120328005624663
206158430229|10995116278291|20111215222049551
206158430229|24189255811254|20120118054601235
618475290646|2199023256077|20120215032812586
206158430231|2199023256077|20120115202007189
206158430231|10995116278291|20111029042009102
206158430231|24189255811254|20120630144658981
824633720856|2199023256077|20120912180959070
824633720856|10995116278291|20120503023840166
412316860441|24189255811254|20120415205040173
206158430234|2199023256077|20110425195638532
755914244125|2199023256077|20120120045545605
755914244125|10995116278291|20120615084624212
755914244125|24189255811254|20120622213350766
824633720862|2199023256077|20120402075634164
824633720862|10995116278291|20120320184730226
824633720862|24189255811254|20120228204353126
343597383712|24189255811254|20120822093424101
824633720865|10995116278291|20120911211057911
824633720865|24189255811254|20120308022415621
893353197602|10995116278291|20120820052819624
962072674339|24189255811254|20120831063955326
36|2199023256437|20100413164432450
36|10995116278468|20110102223938664
36|19791209301592|20110917214027976
36|26388279067534|20120119192204433
36|28587302323722|20120415042438397
36|30786325578932|20120529180020845
36|32985348834375|20120803220925016
68719476773|2199023256816|20100503164025103
68719476773|17592186044425|20110623111746047
137438953510|2199023257206|20100621092352969
137438953510|4398046512201|20100701051743522
137438953510|6597069768211|20100819002356014
137438953510|8796093022467|20101015000625754
137438953510|19791209300326|20110806134424313
137438953510|19791209300608|20110810060613387
137438953510|19791209300787|20110923062600478
137438953510|19791209301454|20110728194117182
137438953510|24189255812580|20111125185941990
137438953510|26388279066664|20120204185654907
137438953510|26388279067534|20120114075129334
137438953510|32985348833653|20120816171258718
206158430247|1274|20100808065155620
206158430247|1490|20100822023459622
206158430247|2199023256437|20100811004707166
206158430247|15393162789274|20110406141824604
206158430247|15393162790400|20110405044010810
206158430247|17592186044425|20110615213551492
206158430247|17592186045693|20110531201446622
206158430247|26388279067534|20120117193506821
206158430247|28587302322537|20120415082543233
274877906984|1490|20110210052740939
274877906984|15393162789274|20120722190510080
274877906984|15393162790400|20110712064814472
274877906984|17592186045693|20120726061248364
274877906984|26388279067534|20120531025515203
481036337193|1274|20120506114056081
481036337193|1490|20110518072316541
481036337193|15393162789274|20110704175741488
481036337193|17592186044425|20120716222712759
481036337193|17592186045693|20120722050420247
481036337193|26388279067534|20120212073231016
412316860459|1274|20110602055139661
412316860459|1490|20111219223455392
412316860459|15393162789274|20120108010559022
412316860459|15393162790400|20110830114038278
412316860459|17592186044425|20111204042948427
412316860459|17592186045693|20120615014424752
962072674349|2199023256437|20120709075714115
962072674349|15393162790400|20120720221231904
962072674349|17592186044425|20120819193706012
962072674349|17592186045693|20120909205832032
755914244142|17592186044425|20120719154352966
755914244142|26388279067534|20120610023131422
274877906991|1274|20120506220839038
274877906991|1490|20120114064521784
274877906991|2199023256437|20110629092519959
274877906991|15393162789274|20111217045629928
274877906991|15393162790400|20120826201851071
274877906991|28587302322537|20120510221806240
618475290672|1274|20120511054337360
618475290672|1490|20120423205549567
618475290672|2199023256437|20120508144912668
618475290672|15393162789274|20110814205059500
618475290672|28587302322537|20120804145355270
274877906994|1490|20110217134742365
274877906994|2199023256437|20110110201124935
274877906994|15393162789274|20120803224441164
274877906994|17592186044425|20120124071442623
274877906994|26388279067534|20120417164802393
274877906994|28587302322537|20120609102012314
755914244147|1274|20120127034624357
755914244147|1490|20120730221509859
755914244147|2199023256437|20120605062424989
755914244147|15393162789274|20120803131141611
755914244147|15393162790400|20120609050741823
755914244147|17592186045693|20120329130058371
824633720884|1274|20120820164657027
824633720884|1490|20120428065403892
824633720884|17592186044425|20120906133139744
824633720884|17592186045693|20120513073303575
824633720884|28587302322537|20120719134536112
962072674357|17592186044425|20120725170939825
962072674358|15393162789274|20120714114454969
962072674358|17592186044425|20120704231236383
549755813944|1490|20110730100314822
549755813944|2199023256437|20110924150521022
549755813944|26388279067534|20120820034037109
274877907001|1274|20110105203540140
274877907001|1490|20120313102958079
274877907001|2199023256437|20110610130109582
274877907001|15393162789274|20120202090834081
274877907001|17592186044425|20120226020157461
343597383738|1490|20110303110636511
343597383738|2199023256437|20110308133412025
343597383738|15393162789274|20120207120329447
343597383738|15393162790400|20110911064745449
343597383738|17592186045693|20120129035855334
343597383738|26388279067534|20120410180516352
343597383738|28587302322537|20120722155943475
618475290683|1490|20110712092444240
618475290683|2199023256437|20120607025710666
618475290683|15393162790400|20110830023829552
274877907004|1274|20110916170638258
274877907004|1490|20120325235159912
274877907004|2199023256437|20110418073638631
274877907004|17592186044425|20111227065708793
274877907004|17592186045693|20111120005358811
274877907004|26388279067534|20120911110530489
755914244157|1490|20120121082602810
755914244157|15393162790400|20120519205632784
755914244157|17592186044425|20120817012008270
343597383742|1274|20111031105630062
343597383742|2199023256437|20120101075131853
343597383742|15393162790400|20120707050013413
343597383742|17592186044425|20110927232333499
343597383742|28587302322537|20120727150511532
893353197631|2199023256437|20120604223845190
893353197631|17592186044425|20120813030015692
893353197631|17592186045693|20120602100657384
206158430272|1490|20120627063649276
206158430272|15393162789274|20120108155525777
206158430272|17592186044425|20120512092352391
274877907009|1274|20111228164536210
274877907009|1490|20120220015113884
274877907009|2199023256437|20111029131101130
274877907009|15393162789274|20120909183922305
893353197634|2199023256437|20120408103009075
893353197634|17592186045693|20120404193833972
274877907012|2199023256437|20110112170151767
274877907012|17592186044425|20110619093220822
274877907012|28587302322537|20120526113040451
343597383749|19791209300852|20110806085042954
343597383749|32985348834655|20120902013851694
755914244167|19791209300852|20120825015745190
1030792151113|19791209300852|20120912090438656
412316860490|19791209300852|20120728202026800
962072674379|19791209300852|20120629033439391
755914244180|19791209300852|20120710025657444
962072674394|19791209300852|20120812092550782
343597383773|19791209300852|20120114175041134
549755813983|19791209300852|20120510114433649
549755813984|459|20110701075157718
549755813984|4398046511596|20110618191239738
549755813984|4398046511667|20110621033610267
549755813984|4398046512267|20110606010131392
549755813984|19791209301252|20110719112446482
549755813984|21990232556528|20111113094211674
549755813984|24189255811566|20111210051453299
893353197665|459|20120731142939708
893353197665|4398046511596|20120610211506889
618475290722|459|20111101171019536
618475290722|4398046511667|20120101185934199
618475290722|4398046512267|20120815053909803
618475290722|19791209301252|20110914163904022
618475290722|21990232556528|20120516104111012
618475290722|24189255811566|20120711134054909
618475290723|459|20111001053535836
618475290723|19791209301252|20120727042131978
618475290723|21990232556528|20120324144221849
618475290723|24189255811566|20111216095540532
824633720932|459|20120908050041205
824633720932|4398046511596|20120628235156813
824633720932|4398046511667|20120910163303756
824633720932|19791209301252|20120607140610536
962072674405|459|20120728012759203
962072674405|4398046512267|20120830174531647
962072674405|21990232556528|20120715032536242
962072674406|4398046511667|20120711191411525
755914244199|4398046511596|20120521002138581
755914244199|19791209301252|20120331015313083
