name,age,score,active
Person_0,19,41.82617768469373,false
Person_1,50,1.5567663520995922,false
Person_2,58,12.579862846175837,true
Person_3,19,35.74618725269936,false
Person_4,76,74.0751897333731,false
Person_5,40,89.42669641442399,false
Person_6,60,84.1615750094269,false
Person_7,55,17.182300110382364,true
Person_8,21,79.11063976780659,true
Person_9,72,75.89772027706722,true
Person_10,56,36.19845349521692,false
Person_11,74,49.29319435382404,true
Person_12,55,29.805273457184832,false
Person_13,30,74.7790717066074,false
Person_14,21,93.97800041105397,false
Person_15,69,89.57151299314104,true
Person_16,50,98.7321594348518,true
Person_17,39,99.50740747268094,false
Person_18,38,41.24149694679734,true
Person_19,29,81.50175524950711,false
Person_20,59,81.08105743678193,true
Person_21,21,13.55099142350219,true
Person_22,51,6.601138901336556,false
Person_23,62,95.38314611095949,true
Person_24,21,60.16796428014809,true
Person_25,19,40.623398922287,true
Person_26,48,7.066359426517355,true
Person_27,26,96.05112523102149,false
Person_28,54,95.98950982389776,true
Person_29,72,91.75962619251946,false
Person_30,51,12.456090602298243,true
Person_31,44,38.40606885715053,true
Person_32,74,89.33088151733698,false
Person_33,73,42.81568735037117,false
Person_34,32,37.7849169300695,true
Person_35,68,80.3170664364169,true
Person_36,66,61.614467034237585,true
Person_37,79,67.53123900118172,false
Person_38,44,16.153048734209353,true
Person_39,70,77.53301473329853,false
Person_40,23,91.14441189804165,true
Person_41,72,75.22754293667525,false
Person_42,54,49.75532116061589,true
Person_43,34,51.31577420755862,true
Person_44,60,20.4080159071654,false
Person_45,44,45.00157188354118,true
Person_46,44,87.67114176571286,false
Person_47,19,85.21193417700994,false
Person_48,55,44.09570070348578,true
Person_49,56,10.704208587596808,true
Person_50,43,82.1246951960062,true
Person_51,33,84.19524752099254,false
Person_52,55,34.72936887791379,true
Person_53,41,45.01034549040466,false
Person_54,28,87.84348646992444,false
Person_55,48,3.242236936238596,false
Person_56,64,48.021599227735436,true
Person_57,57,91.55948289549937,true
Person_58,49,3.1840250882688714,false
Person_59,75,97.8059089426463,true
Person_60,54,80.09482890895374,false
Person_61,60,68.49176485265896,false
Person_62,70,73.9228135924586,false
Person_63,36,52.68413638342977,false
Person_64,25,69.85585440349146,true
Person_65,27,80.96744017521583,false
Person_66,25,58.510415514537605,false
Person_67,31,44.70615996877879,true
Person_68,31,28.30344633049824,false
Person_69,22,61.71807760055261,true
Person_70,26,18.54526323293334,false
Person_71,39,27.58986059715899,true
Person_72,65,44.48078818589261,false
Person_73,20,79.24615933975274,false
Person_74,52,40.35873143567068,true
Person_75,51,68.10328335181627,false
Person_76,18,54.80007739193421,true
Person_77,20,79.09729904983332,true
Person_78,44,32.07756534503008,false
Person_79,63,62.6171925574452,true
Person_80,28,68.64755576172202,true
Person_81,44,71.10402418329261,false
Person_82,28,75.91913537454596,true
Person_83,80,3.4204781523379246,false
Person_84,36,57.32736502616199,false
Person_85,43,93.36855024642236,false
Person_86,25,43.797355946916404,true
Person_87,24,47.90635215080707,false
Person_88,45,85.43604439119774,false
Person_89,36,72.08864988868844,true
Person_90,22,4.6110343652352785,false
Person_91,24,57.93058797775134,false
Person_92,51,93.78180399431125,true
Person_93,32,82.92074208324797,true
Person_94,75,28.13360702695169,false
Person_95,78,32.89985075614914,false
Person_96,44,41.33369038798534,true
Person_97,45,81.79133605025028,false
Person_98,26,41.695360797443946,true
Person_99,71,33.012837344712395,true
Person_100,26,0.8176603765201351,true
Person_101,46,77.34447088864496,false
Person_102,23,76.98271989102997,false
Person_103,60,52.53706693164011,false
Person_104,31,92.1674744741093,true
Person_105,59,37.63952245094392,true
Person_106,57,13.34889796992309,false
Person_107,19,96.95985455093418,true
Person_108,63,0.04291431925910194,false
Person_109,54,36.282549772025206,true
Person_110,69,52.08836916557156,true
Person_111,80,65.91415967227033,true
Person_112,18,37.937238809821515,false
Person_113,39,65.66659301138756,true
Person_114,20,56.6515498152952,false
Person_115,29,12.066624751206911,false
Person_116,66,46.42676863750618,true
Person_117,75,82.43991287947009,true
Person_118,31,23.368787198505913,true
Person_119,51,91.11811435179382,false
Person_120,55,31.566203592955443,false
Person_121,34,39.5941237006028,true
Person_122,28,84.60399300488577,true
Person_123,34,74.31844280672063,false
Person_124,62,18.71733320701322,false
Person_125,20,72.79583622116878,false
Person_126,70,7.636508871643011,false
Person_127,76,99.95560519369832,false
Person_128,56,48.51147779973929,false
Person_129,54,88.96834201373508,true
Person_130,26,32.29409924697174,false
Person_131,58,81.15774968911349,true
Person_132,44,3.4312992968436706,false
Person_133,72,78.4401426778498,false
Person_134,31,53.12096674197085,true
Person_135,40,64.27647978153306,true
Person_136,22,53.49437789184738,false
Person_137,27,45.35469073393371,true
Person_138,65,35.97092436386235,false
Person_139,68,47.71206593534612,true
Person_140,37,69.10345460858497,true
Person_141,47,77.90781790661686,true
Person_142,64,38.71412731794619,true
Person_143,44,66.3554904357992,true
Person_144,20,16.095077038094587,false
Person_145,77,21.470204139797268,true
Person_146,44,18.066338070153808,true
Person_147,33,47.773159922196264,true
